<article id="GID_1941_96" name="J.H. Scholte" birth-date="1874" birth-place="NA" death-date="1959" death-place="NA">
<sentence id="1">
Simplicius_simplicissimus_De_Dertigjarige_Oorlog	Simplicius_simplicissimus_De_Dertigjarige_Oorlog	SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)	1.0
zich	zich	VNW(refl,pron,obl,red,3,getal)	0.99974
tot	tot	VZ(init)	0.998379
haar	haar	VNW(pers,pron,obl,vol,3,getal,fem)	0.642857
,	,	LET()	1.0
om	om	VZ(init)	0.996732
haar	haar	VNW(pers,pron,obl,vol,3,getal,fem)	0.666667
met	met	VZ(init)	0.99948
zijn	zijn	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.951807
raad	raad	N(soort,ev,basis,zijd,stan)	0.92
bij	bij	VZ(fin)	0.854839
te	te	VZ(init)	0.999976
staan	staan	WW(inf,vrij,zonder)	0.991453
.	.	LET()	1.0
</sentence>
<sentence id="5">
Naderbij	Naderbij	SPEC(deeleigen)	1.0
gekomen	komen	WW(vd,vrij,zonder)	0.857143
bemerkte	bemerken	WW(pv,verl,ev)	0.999485
hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999659
de	de	LID(bep,stan,rest)	0.999665
rijkdom	rijkdom	N(soort,ev,basis,zijd,stan)	0.999662
van	van	VZ(init)	0.999237
haar	haar	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.996503
kleding	kleding	N(soort,ev,basis,zijd,stan)	0.999633
,	,	LET()	1.0
de	de	LID(bep,stan,rest)	0.999454
schoonheid	schoonheid	N(soort,ev,basis,zijd,stan)	0.999662
van	van	VZ(init)	0.999237
haar	haar	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.996503
verschijning	verschijning	N(soort,ev,basis,zijd,stan)	0.998077
.	.	LET()	1.0
</sentence>
<sentence id="6">
Zij	zij	VNW(pers,pron,nomin,vol,3v,ev,fem)	0.970297
smeekte	smeken	WW(pv,verl,ev)	0.997655
hem	hem	VNW(pers,pron,obl,vol,3,ev,masc)	0.976119
om	om	VZ(init)	0.998966
hulp	hulp	N(soort,ev,basis,zijd,stan)	0.99823
:	:	LET()	1.0
het	het	VNW(pers,pron,stan,red,3,ev,onz)	0.990625
was	zijn	WW(pv,verl,ev)	0.99656
dringend	dringend	ADJ(vrij,basis,zonder)	0.954545
nodig	nodig	ADJ(vrij,basis,zonder)	0.993805
,	,	LET()	1.0
haar	haar	VNW(pers,pron,obl,vol,3,getal,fem)	0.886598
onverwijld	onverwijld	ADJ(vrij,basis,zonder)	0.991579
naar	naar	VZ(init)	0.970603
welmenende	welmenend	ADJ(prenom,basis,met-e,stan)	0.555556
vrouwen	vrouw	N(soort,mv,basis)	0.998466
te	te	VZ(init)	0.999976
brengen	brengen	WW(inf,vrij,zonder)	0.954545
,	,	LET()	1.0
om	om	VZ(init)	0.996732
haar	haar	VNW(pers,pron,obl,vol,3,getal,fem)	0.935484
in	in	VZ(init)	0.993135
haar	haar	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.653384
hoogst	hoog	ADJ(vrij,sup,zonder)	0.784946
zwangere	zwanger	ADJ(prenom,basis,met-e,stan)	0.999763
toestand	toestand	N(soort,ev,basis,zijd,stan)	0.99886
bij	bij	VZ(fin)	0.854839
te	te	VZ(init)	0.999976
staan	staan	WW(inf,vrij,zonder)	0.991453
.	.	LET()	1.0
</sentence>
<sentence id="7">
De	de	LID(bep,stan,rest)	0.999701
boer	boer	N(soort,ev,basis,zijd,stan)	0.999183
nam	nemen	WW(pv,verl,ev)	0.997655
haar	haar	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.653384
mede	mede	BW()	0.744186
naar	naar	VZ(init)	0.993355
zijn	zijn	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.996587
primitieve	primitief	ADJ(prenom,basis,met-e,stan)	0.984615
kamp	kamp	N(soort,ev,basis,onz,stan)	0.997008
.	.	LET()	1.0
</sentence>
<sentence id="8">
Geen	geen	VNW(onbep,det,stan,prenom,zonder,agr)	0.973684
half	half	ADJ(prenom,basis,zonder)	0.991011
uur	uur	N(soort,ev,basis,onz,stan)	0.999731
later	laat	ADJ(vrij,comp,zonder)	0.991176
had	hebben	WW(pv,verl,ev)	0.999771
zij_het	zij_het	VNW(pers,pron,nomin,vol,3v,ev,fem)_LID(bep,stan,evon)	0.46805
leven	leven	N(soort,ev,basis,onz,stan)	0.992647
